
> otp-site-1@1.3.0 start
> node server.js

✅ Supabase Admin Initialized
✅ Gemini API Key found

🚀 OTP SECURE SERVER V1.3.1 ONLINE
🔒 Security Headers: ENABLED
📦 Compression: ENABLED
🔑 Auth System: JWT ENABLED
📡 Local: http://localhost:3000

[2026-03-09T12:34:13.690Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:34:13.697Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:34:14.371Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:34:25.923Z] POST /api/create-checkout-session - IP: 127.0.0.1
[2026-03-09T12:34:31.588Z] GET / - IP: 127.0.0.1
[2026-03-09T12:34:31.601Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:34:31.648Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:37:09.569Z] GET /otp-terminal.html - IP: 127.0.0.1
[2026-03-09T12:37:09.579Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:37:09.580Z] GET /admin-styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:37:09.585Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:37:09.641Z] GET /site-init.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:37:09.643Z] GET /admin-core.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:37:09.720Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:37:21.626Z] GET /portal-gate.html - IP: 127.0.0.1
[2026-03-09T12:37:23.137Z] GET /portal-gate.html - IP: 127.0.0.1
[2026-03-09T12:37:23.236Z] GET /favicon.ico - IP: 127.0.0.1
[2026-03-09T12:37:29.042Z] GET /otp-terminal.html?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:46:28.467Z] GET / - IP: 127.0.0.1
[2026-03-09T12:46:28.488Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:46:28.491Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:46:28.493Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:46:28.526Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:46:28.532Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:46:28.535Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:46:28.545Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T12:46:28.545Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T12:46:28.545Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:46:28.555Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:46:29.786Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:47:28.441Z] POST /api/create-checkout-session - IP: 127.0.0.1
[2026-03-09T12:47:33.054Z] GET / - IP: 127.0.0.1
[2026-03-09T12:47:33.067Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:47:33.137Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:54:17.819Z] GET / - IP: 127.0.0.1
[2026-03-09T12:54:17.836Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:54:17.837Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:54:17.838Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:54:17.864Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:54:17.869Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:54:17.874Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:54:17.933Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T12:54:17.933Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T12:54:17.934Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:54:17.947Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:54:18.341Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:54:35.231Z] GET / - IP: 127.0.0.1
[2026-03-09T12:54:35.249Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:54:35.250Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:54:35.250Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:54:35.271Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:54:35.274Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:54:35.284Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:54:35.289Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T12:54:35.290Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T12:54:35.290Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:54:35.300Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:54:35.482Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:56:06.806Z] GET / - IP: 127.0.0.1
[2026-03-09T12:56:06.824Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:06.826Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:56:06.827Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:56:06.853Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:06.858Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:06.865Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:56:06.945Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T12:56:06.945Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T12:56:06.946Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:56:06.947Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:56:07.256Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:56:27.381Z] GET / - IP: 127.0.0.1
[2026-03-09T12:56:27.397Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:56:27.398Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:27.399Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:56:27.424Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:27.429Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:27.436Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:56:27.442Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T12:56:27.442Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T12:56:27.445Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:56:27.449Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:56:27.825Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T12:56:41.860Z] GET / - IP: 127.0.0.1
[2026-03-09T12:56:41.875Z] GET /styles.css?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:41.875Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:56:41.876Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T12:56:41.887Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:41.890Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T12:56:41.913Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T12:56:41.918Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T12:56:41.918Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T12:56:41.919Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T12:56:41.929Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T12:56:42.188Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:06:15.638Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:06:15.653Z] GET /styles.css?v=1773018092 - IP: 127.0.0.1
[2026-03-09T13:06:31.651Z] GET /insight.html?slug=whats-elegant-about-eli3gant - IP: 127.0.0.1
[2026-03-09T13:06:35.468Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:06:37.167Z] GET /insight.html?slug=whats-elegant-about-eli3gant - IP: 127.0.0.1
[2026-03-09T13:06:40.635Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:07:50.390Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:07:50.401Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:07:50.416Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
